Data,"Tipo Residuo","Peso"
2014-10-13,"Indiferenciado","231260,00"
2014-10-13,"Plastico","1200,00"
2014-10-13,"Cortes de Jardim","96020,00"
2014-10-13,"Papel","28680,00"
2014-10-13,"Monstros","11700,00"
2014-10-13,"Residuos Limpeza","7680,00"
2014-10-12,"Papel","3040,00"
2014-10-12,"Indiferenciado","208660,00"
2014-10-12,"Residuos Limpeza","22260,00"
2014-10-11,"Cortes de Jardim","116340,00"
2014-10-11,"Papel","7300,00"
2014-10-11,"Residuos Limpeza","16660,00"
2014-10-11,"Plastico","1600,00"
2014-10-11,"Monstros","4620,00"
2014-10-11,"Vidro","11300,00"
2014-10-11,"Indiferenciado","250020,00"
2014-10-10,"Cortes de Jardim","117200,00"
2014-10-10,"Papel","4320,00"
2014-10-10,"Plastico","12720,00"
2014-10-10,"Residuos Limpeza","4200,00"
2014-10-10,"Indiferenciado","240980,00"
2014-10-10,"Vidro","4060,00"
2014-10-10,"Monstros","8020,00"
2014-10-09,"Residuos Limpeza","3780,00"
2014-10-09,"Vidro","4960,00"
2014-10-09,"Monstros","9240,00"
2014-10-09,"Indiferenciado","228620,00"
2014-10-09,"Cortes de Jardim","97500,00"
2014-10-09,"Plastico","2060,00"
2014-10-09,"Papel","21700,00"
2014-10-08,"Indiferenciado","220040,00"
2014-10-08,"Vidro","12240,00"
2014-10-08,"Plastico","1740,00"
2014-10-08,"Residuos Limpeza","25400,00"
2014-10-08,"Papel","4720,00"
2014-10-08,"Monstros","10520,00"
2014-10-08,"Cortes de Jardim","96080,00"
2014-10-07,"Indiferenciado","242400,00"
2014-10-07,"Vidro","5300,00"
2014-10-07,"Papel","4200,00"
2014-10-07,"Cortes de Jardim","80620,00"
2014-10-07,"Residuos Limpeza","4740,00"
2014-10-07,"Plastico","23160,00"
2014-10-07,"Monstros","11040,00"
2014-10-06,"Vidro","6160,00"
2014-10-06,"Indiferenciado","239800,00"
2014-10-06,"Residuos Limpeza","35280,00"
2014-10-06,"Monstros","10320,00"
2014-10-06,"Cortes de Jardim","74540,00"
2014-10-06,"Plastico","1360,00"
2014-10-06,"Papel","39680,00"
2014-10-05,"Indiferenciado","231520,00"
2014-10-05,"Papel","2920,00"
2014-10-04,"Indiferenciado","250480,00"
2014-10-04,"Vidro","10280,00"
2014-10-04,"Residuos Limpeza","5700,00"
2014-10-04,"Plastico","1460,00"
2014-10-04,"Monstros","5380,00"
2014-10-04,"Papel","6460,00"
2014-10-04,"Cortes de Jardim","75560,00"
2014-10-03,"Indiferenciado","237900,00"
2014-10-03,"Monstros","11860,00"
2014-10-03,"Vidro","4900,00"
2014-10-03,"Residuos Limpeza","5600,00"
2014-10-03,"Cortes de Jardim","72280,00"
2014-10-03,"Papel","3420,00"
2014-10-03,"Plastico","11560,00"
2014-10-02,"Indiferenciado","236660,00"
2014-10-02,"Vidro","4180,00"
2014-10-02,"Cortes de Jardim","73560,00"
2014-10-02,"Monstros","13320,00"
2014-10-02,"Residuos Limpeza","9460,00"
2014-10-02,"Plastico","2240,00"
2014-10-02,"Papel","19920,00"
2014-10-01,"Indiferenciado","234600,00"
2014-10-01,"Vidro","13740,00"
2014-10-01,"Papel","5460,00"
2014-10-01,"Cortes de Jardim","55600,00"
2014-10-01,"Plastico","2760,00"
2014-10-01,"Monstros","9320,00"
2014-10-01,"Residuos Limpeza","16640,00"
2014-09-30,"Cortes de Jardim","65400,00"
2014-09-30,"Papel","2660,00"
2014-09-30,"Indiferenciado","245880,00"
2014-09-30,"Monstros","10000,00"
2014-09-30,"Plastico","22920,00"
2014-09-30,"Residuos Limpeza","35200,00"
2014-09-29,"Cortes de Jardim","73740,00"
2014-09-29,"Vidro","14540,00"
2014-09-29,"Plastico","1140,00"
2014-09-29,"Papel","41460,00"
2014-09-29,"Residuos Limpeza","18440,00"
2014-09-29,"Monstros","11280,00"
2014-09-29,"Indiferenciado","242140,00"
2014-09-28,"Papel","2880,00"
2014-09-28,"Indiferenciado","241680,00"
2014-09-27,"Plastico","4020,00"
2014-09-27,"Residuos Limpeza","30260,00"
2014-09-27,"Monstros","4280,00"
2014-09-27,"Vidro","15440,00"
2014-09-27,"Indiferenciado","241720,00"
2014-09-27,"Papel","7060,00"
2014-09-27,"Cortes de Jardim","47900,00"
2014-09-26,"Indiferenciado","244580,00"
2014-09-26,"Papel","3040,00"
2014-09-26,"Plastico","12260,00"
2014-09-26,"Residuos Limpeza","41500,00"
2014-09-26,"Cortes de Jardim","67980,00"
2014-09-26,"Monstros","8740,00"
2014-09-26,"Vidro","9560,00"
2014-09-25,"Residuos Limpeza","48140,00"
2014-09-25,"Indiferenciado","238660,00"
2014-09-25,"Papel","23660,00"
2014-09-25,"Cortes de Jardim","95580,00"
2014-09-25,"Vidro","15020,00"
